timestamp,DEMANDA_TOTAL,demanda_SERVEI_CODI_INF_RS_BARCELONA,demanda_SERVEI_CODI_INF_RS_GIRONA,demanda_SERVEI_CODI_INF_RS_LLEIDA,demanda_SERVEI_CODI_INF_RS_TARRAGONA,demanda_SERVEI_CODI_MEDFAM_RS_BARCELONA,demanda_SERVEI_CODI_MEDFAM_RS_GIRONA,demanda_SERVEI_CODI_MEDFAM_RS_LLEIDA,demanda_SERVEI_CODI_MEDFAM_RS_TARRAGONA,demanda_SERVEI_CODI_PED_RS_BARCELONA,demanda_SERVEI_CODI_PED_RS_GIRONA,demanda_SERVEI_CODI_PED_RS_LLEIDA,demanda_SERVEI_CODI_PED_RS_TARRAGONA,demanda_SERVEI_CODI_URG_RS_BARCELONA,demanda_SERVEI_CODI_URG_RS_GIRONA,demanda_SERVEI_CODI_URG_RS_LLEIDA,demanda_SERVEI_CODI_URG_RS_TARRAGONA,demanda_TIPUS_CLASS_9T_RS_GIRONA,demanda_TIPUS_CLASS_C9C_RS_BARCELONA,demanda_TIPUS_CLASS_C9R_RS_LLEIDA,demanda_TIPUS_CLASS_CALTRE_RS_TARRAGONA,demanda_TIPUS_CLASS_D9D_RS_BARCELONA,demanda_TIPUS_VISITA_AGRUPAT_DOMICILIARIA_RS_BARCELONA,demanda_TIPUS_VISITA_AGRUPAT_PRESENCIAL_RS_BARCELONA,demanda_TIPUS_VISITA_AGRUPAT_PRESENCIAL_RS_LLEIDA,demanda_TIPUS_VISITA_AGRUPAT_PRESENCIAL_RS_TARRAGONA,demanda_TIPUS_VISITA_AGRUPAT_TELEFONICA_RS_GIRONA,demanda_VISI_LLOC_VISITA_C_RS_BARCELONA,demanda_VISI_LLOC_VISITA_C_RS_GIRONA,demanda_VISI_LLOC_VISITA_C_RS_LLEIDA,demanda_VISI_LLOC_VISITA_C_RS_TARRAGONA,demanda_VISI_LLOC_VISITA_D_RS_BARCELONA,demanda_VISI_LLOC_VISITA_D_RS_GIRONA,demanda_VISI_LLOC_VISITA_D_RS_LLEIDA,demanda_VISI_LLOC_VISITA_D_RS_TARRAGONA,demanda_VISI_LLOC_VISITA_H_RS_BARCELONA,demanda_VISI_LLOC_VISITA_H_RS_GIRONA,demanda_VISI_LLOC_VISITA_H_RS_LLEIDA,demanda_VISI_LLOC_VISITA_H_RS_TARRAGONA,demanda_VISI_SITUACIO_VISITA_NO_PROGRAMADA_RS_BARCELONA,demanda_VISI_SITUACIO_VISITA_NO_PROGRAMADA_RS_GIRONA,demanda_VISI_SITUACIO_VISITA_NO_PROGRAMADA_RS_LLEIDA,demanda_VISI_SITUACIO_VISITA_NO_PROGRAMADA_RS_TARRAGONA,demanda_VISI_SITUACIO_VISITA_PROGRAMADA_RS_BARCELONA,demanda_VISI_SITUACIO_VISITA_PROGRAMADA_RS_GIRONA,demanda_VISI_SITUACIO_VISITA_PROGRAMADA_RS_LLEIDA,demanda_VISI_SITUACIO_VISITA_PROGRAMADA_RS_TARRAGONA,demanda_VISI_SITUACIO_VISITA_URGENT_RS_BARCELONA,demanda_VISI_SITUACIO_VISITA_URGENT_RS_GIRONA,demanda_VISI_SITUACIO_VISITA_URGENT_RS_LLEIDA,demanda_VISI_SITUACIO_VISITA_URGENT_RS_TARRAGONA,demanda__TOTAL_RS_RS_BARCELONA,demanda__TOTAL_RS_RS_GIRONA,demanda__TOTAL_RS_RS_LLEIDA,demanda__TOTAL_RS_RS_TARRAGONA,demanda_SERVEI_CODI_INF_00101,demanda_SERVEI_CODI_INF_00102,demanda_SERVEI_CODI_INF_00201,demanda_SERVEI_CODI_INF_00301,demanda_SERVEI_CODI_INF_00401,demanda_SERVEI_CODI_MEDFAM_00101,demanda_SERVEI_CODI_MEDFAM_00102,demanda_SERVEI_CODI_MEDFAM_00201,demanda_SERVEI_CODI_MEDFAM_00301,demanda_SERVEI_CODI_MEDFAM_00401,demanda_SERVEI_CODI_PED_00101,demanda_SERVEI_CODI_PED_00102,demanda_SERVEI_CODI_PED_00201,demanda_SERVEI_CODI_PED_00301,demanda_SERVEI_CODI_PED_00401,demanda_SERVEI_CODI_URG_00101,demanda_SERVEI_CODI_URG_00102,demanda_SERVEI_CODI_URG_00201,demanda_SERVEI_CODI_URG_00301,demanda_SERVEI_CODI_URG_00401,demanda_TIPUS_CLASS_9T_00201,demanda_TIPUS_CLASS_C9C_00101,demanda_TIPUS_CLASS_C9R_00301,demanda_TIPUS_CLASS_CALTRE_00401,demanda_TIPUS_CLASS_D9D_00102,demanda_TIPUS_VISITA_AGRUPAT_DOMICILIARIA_00102,demanda_TIPUS_VISITA_AGRUPAT_PRESENCIAL_00101,demanda_TIPUS_VISITA_AGRUPAT_PRESENCIAL_00301,demanda_TIPUS_VISITA_AGRUPAT_PRESENCIAL_00401,demanda_TIPUS_VISITA_AGRUPAT_TELEFONICA_00201,demanda_VISI_LLOC_VISITA_C_00101,demanda_VISI_LLOC_VISITA_C_00102,demanda_VISI_LLOC_VISITA_C_00201,demanda_VISI_LLOC_VISITA_C_00301,demanda_VISI_LLOC_VISITA_C_00401,demanda_VISI_LLOC_VISITA_D_00101,demanda_VISI_LLOC_VISITA_D_00102,demanda_VISI_LLOC_VISITA_D_00201,demanda_VISI_LLOC_VISITA_D_00301,demanda_VISI_LLOC_VISITA_D_00401,demanda_VISI_LLOC_VISITA_H_00101,demanda_VISI_LLOC_VISITA_H_00102,demanda_VISI_LLOC_VISITA_H_00201,demanda_VISI_LLOC_VISITA_H_00301,demanda_VISI_LLOC_VISITA_H_00401,demanda_VISI_SITUACIO_VISITA_NO_PROGRAMADA_00101,demanda_VISI_SITUACIO_VISITA_NO_PROGRAMADA_00102,demanda_VISI_SITUACIO_VISITA_NO_PROGRAMADA_00201,demanda_VISI_SITUACIO_VISITA_NO_PROGRAMADA_00301,demanda_VISI_SITUACIO_VISITA_NO_PROGRAMADA_00401,demanda_VISI_SITUACIO_VISITA_PROGRAMADA_00101,demanda_VISI_SITUACIO_VISITA_PROGRAMADA_00102,demanda_VISI_SITUACIO_VISITA_PROGRAMADA_00201,demanda_VISI_SITUACIO_VISITA_PROGRAMADA_00301,demanda_VISI_SITUACIO_VISITA_PROGRAMADA_00401,demanda_VISI_SITUACIO_VISITA_URGENT_00101,demanda_VISI_SITUACIO_VISITA_URGENT_00102,demanda_VISI_SITUACIO_VISITA_URGENT_00201,demanda_VISI_SITUACIO_VISITA_URGENT_00301,demanda_VISI_SITUACIO_VISITA_URGENT_00401,demanda__TOTAL_UP_00101,demanda__TOTAL_UP_00102,demanda__TOTAL_UP_00201,demanda__TOTAL_UP_00301,demanda__TOTAL_UP_00401
2008-01-14,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
2008-01-15,4,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1
2008-01-16,5,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1
2008-01-17,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2008-01-18,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
2008-01-19,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1
2008-01-20,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
2008-01-21,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2008-01-22,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0
2008-01-23,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1
2008-01-24,5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1
2008-01-25,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
2008-01-26,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0
2008-01-27,4,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1
2008-01-28,5,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,1
2008-01-29,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
